year,香港,中國,新加坡,韓國,加拿大,馬來西亞,美國,日本,越南,菲律賓
095,543,208,12,0,0,0,0,0,0,0
096,651,406,3,73,6,6,2,0,0,0
097,436,307,24,90,4,11,0,0,0,0
098,196,564,3,166,1,4,11,0,0,0
099,85,1207,4,150,0,4,25,0,0,0
100,93,678,3,351,1,4,3,0,0,0
101,191,685,10,411,0,4,1,0,0,0
102,16,950,4,557,1,6,4,60,8,0
103,9,1173,3,91,0,1,10,1,0,0
104,18,1792,0,24,1,1,12,0,16,2
105,17,1443,0,94,4,9,11,2,0,6
106,47,1527,0,93,8,3,15,1,0,8
107,66,1351,0,99,20,1,18,14,0,3
108,35,1399,0,79,99,1,7,17,0,5
109,46,652,1,60,6,1,2,3,0,0