year,日本,香港,馬來西亞,新加坡,加拿大,美國,菲律賓,中國,韓國,比利時
095,109,0,0,0,50,1186,0,0,0,10
096,102,0,0,1,296,1435,0,0,0,0
097,124,0,0,0,236,624,19,0,0,0
098,131,1,0,0,500,708,0,0,0,0
099,133,0,0,25,116,674,158,0,0,0
100,137,0,11,43,180,581,119,7,0,0
101,126,1,1,74,108,304,0,2,0,0
102,135,0,7,156,135,462,0,0,0,0
103,138,1,18,230,91,675,19,0,3,0
104,152,3,8,138,30,189,0,0,14,0
105,128,0,6,29,0,19,0,0,2,0
106,144,1,6,4,0,0,0,0,0,0
107,155,2,13,127,7,0,0,0,0,0
108,99,2,0,0,1,0,0,0,0,0
109,174,25,7,4,2,0,0,0,0,0