year,中國,香港,加拿大,新加坡,馬來西亞,印尼,澳門,越南,科威特,巴林
095,39,12,2,2,0,0,0,0,0,0
096,30,54,4,16,1,0,0,0,0,0
097,236,195,5,11,1,1,0,0,0,0
098,762,1927,6,23,0,4,0,0,0,0
099,1293,3093,0,22,8,11,0,0,0,0
100,1243,4175,5,18,6,11,0,0,0,0
101,2741,3186,2,14,2,7,0,0,0,0
102,8816,59,0,16,1,5,0,0,0,0
103,8969,51,1,9,3,5,1,0,0,0
104,12267,111,1,2,5,5,0,0,0,1
105,10211,45,0,1,3,7,3,0,0,1
106,6524,51,2,1,11,3,0,2,0,0
107,11656,95,2,9,30,5,3,1,1,0
108,13927,354,3,5,47,11,6,0,2,0
109,13588,536,87,35,23,7,5,0,0,0